ID,Population,Family,Temperature,Clutch,Replicate,Individual,Sex,Sampling day,Average group development time,Proportion completed development,Mass day 8,Mass day 12,Mass closest sampling day
AF_132_34_68a_1,AF,132,34,68,a,1,Female,8,15.33,0.52,5.1,4.27,5.1
AF_132_34_68a_2,AF,132,34,68,a,2,Male,8,15.33,0.52,5.1,4.27,5.1
AF_132_34_68a_3,AF,132,34,68,a,3,Female,8,15.33,0.52,5.1,4.27,5.1
AF_142_34_117b_1,AF,142,34,117,b,1,Female,8,17.08,0.47,4.07,3.62,4.07
AF_142_34_117b_2,AF,142,34,117,b,2,Female,8,17.08,0.47,4.07,3.62,4.07
AF_142_34_117b_3,AF,142,34,117,b,3,Female,8,17.08,0.47,4.07,3.62,4.07
AF_145_34_98a_1,AF,145,34,98,a,1,Male,8,17.33,0.46,4.2,11.71,4.2
AF_145_34_98a_2,AF,145,34,98,a,2,Female,8,17.33,0.46,4.2,11.71,4.2
AF_145_34_98a_3,AF,145,34,98,a,3,Male,8,17.33,0.46,4.2,11.71,4.2
AF_132_34_68b_1,AF,132,34,68,b,1,Male,9,15.92,0.57,5.44,12.49,5.44
AF_132_34_68b_2,AF,132,34,68,b,2,Female,9,15.92,0.57,5.44,12.49,5.44
AF_132_34_68b_3,AF,132,34,68,b,3,Male,9,15.92,0.57,5.44,12.49,5.44
AF_140_34_63a_1,AF,140,34,63,a,1,Male,9,17.08,0.53,4.34,4.1,4.34
AF_140_34_63a_2,AF,140,34,63,a,2,Male,9,17.08,0.53,4.34,4.1,4.34
AF_140_34_63a_3,AF,140,34,63,a,3,Male,9,17.08,0.53,4.34,4.1,4.34
AF_140_34_63b_1,AF,140,34,63,b,1,Male,9,16.92,0.53,4.52,4.08,4.52
AF_140_34_63b_2,AF,140,34,63,b,2,Female,9,16.92,0.53,4.52,4.08,4.52
AF_140_34_63b_3,AF,140,34,63,b,3,Female,9,16.92,0.53,4.52,4.08,4.52
