subject_y	initial_alias	converted_alias	name	description
MCINX2_00000004-RA	FBPP0074058	Ubc7	Ubc7	Ubiquitin conjugating enzyme 7
MCINX2_00000008-RA	FBPP0292037	Nost	Nost	Nostrin
MCINX2_00000014-RA	FBPP0074559	CG14234	CG14234	None
MCINX2_00000016-RA	FBPP0310006	rngo	rngo	rings lost
MCINX2_00000017-RA	FBPP0304851	CG9098	CG9098	None
MCINX2_00000019-RA	FBPP0076438	Arl5	Arl5	ADP-ribosylation factor-like 5
MCINX2_00000020-RA	FBPP0311424	alpha-Man-IIb	alpha-Man-IIb	alpha-Mannosidase class II b
MCINX2_00000025-RA	FBPP0081980	CG18547	CG18547	None
MCINX2_00000026-RA	FBPP0079438	GlcAT-S	GlcAT-S	Glucuronyltransferase S
MCINX2_00000029-RA	FBPP0073337	CG11122	CG11122	None
MCINX2_00000031-RA	FBPP0297621	CG8492	CG8492	None
MCINX2_00000034-RA	FBPP0290106	Gyf	Gyf	Gigyf
MCINX2_00000035-RA	FBPP0302703	CG43693	CG43693	None
MCINX2_00000036-RA	FBPP0081130	Alh	Alh	Alhambra
MCINX2_00000037-RA	FBPP0271793	mfr	mfr	misfire
MCINX2_00000038-RA	FBPP0080429	CG5968	CG5968	None
MCINX2_00000041-RA	FBPP0112127	CG14688	CG14688	None
MCINX2_00000043-RA	FBPP0081982	Tango9	Tango9	Transport and Golgi organization 9
MCINX2_00000045-RA	FBPP0304377	Ldh	Ldh	Lactate dehydrogenase
MCINX2_00000046-RA	FBPP0075930	CG7888	CG7888	None
MCINX2_00000047-RA	FBPP0076490	Pdp1	Pdp1	PAR-domain protein 1
MCINX2_00000052-RA	FBPP0305129	asrij	asrij	asrij
MCINX2_00000053-RA	FBPP0074693	cyc	cyc	cycle
MCINX2_00000054-RA	FBPP0084559	pins	pins	partner of inscuteable
MCINX2_00000055-RA	FBPP0073014	Awh	Awh	Arrowhead
MCINX2_00000056-RC	FBPP0076523	Hn	Hn	Henna
MCINX2_00000060-RA	FBPP0076146	fry	fry	furry
MCINX2_00000066-RA	FBPP0076119	CNMaR	CNMaR	CNMamide Receptor
MCINX2_00000075-RA	FBPP0305775	ClC-c	ClC-c	Chloride channel-c
MCINX2_00000076-RA	FBPP0075207	Taf4	Taf4	TBP-associated factor 4
MCINX2_00000077-RA	FBPP0080048	beta'COP	beta'COP	Coat Protein (coatomer) beta'
MCINX2_00000078-RA	FBPP0074157	CG16700	CG16700	None
MCINX2_00000079-RB	FBPP0074122	Nprl2	Nprl2	Nitrogen permease regulator-like 2
MCINX2_00000082-RA	FBPP0074691	trc	trc	tricornered
MCINX2_00000086-RA	FBPP0290049	Vps13B	Vps13B	Vacuolar protein sorting 13B
MCINX2_00000088-RA	FBPP0072933	CG14961	CG14961	None
MCINX2_00000088-RB	FBPP0071992	angel	angel	angel
MCINX2_00000091-RB	FBPP0428420	None	None	None
MCINX2_00000098-RA	FBPP0079798	CG33695	CG33695	None
MCINX2_00000099-RA	FBPP0075685	Lmx1a	Lmx1a	LIM homeobox transcription factor 1 alpha
MCINX2_00000103-RA	FBPP0073101	ago	ago	archipelago
MCINX2_00000104-RA	FBPP0305467	bab1	bab1	bric a brac 1
MCINX2_00000105-RA	FBPP0111584	Not1	Not1	Not1
MCINX2_00000106-RA	FBPP0310886	CG45089	CG45089	None
MCINX2_00000107-RA	FBPP0071092	ND-MNLL	ND-MNLL	NADH dehydrogenase (ubiquinone) MNLL subunit
MCINX2_00000109-RA	FBPP0311759	Spg7	Spg7	Paraplegin
MCINX2_00000111-RC	FBPP0304372	CG13293	CG13293	None
MCINX2_00000111-RD	FBPP0293352	CG43078	CG43078	None
MCINX2_00000115-RA	FBPP0076763	Ets65A	Ets65A	Ets at 65A
MCINX2_00000116-RA	FBPP0304601	kon	kon	kon-tiki
MCINX2_00000117-RB	FBPP0076823	Cralbp	Cralbp	Cellular retinaldehyde binding protein
MCINX2_00000119-RA	FBPP0076463	CG32365	CG32365	None
MCINX2_00000120-RA	FBPP0076771	CG10467	CG10467	None
MCINX2_00000121-RA	FBPP0309646	trol	trol	terribly reduced optic lobes
MCINX2_00000123-RA	FBPP0099841	Pdfr	Pdfr	Pigment-dispersing factor receptor
MCINX2_00000127-RA	FBPP0083420	meigo	meigo	medial glomeruli
MCINX2_00000128-RA	FBPP0074063	CG9782	CG9782	None
MCINX2_00000129-RA	FBPP0079809	CG6287	CG6287	None
MCINX2_00000131-RA	FBPP0309733	CG3777	CG3777	None
MCINX2_00000134-RB	FBPP0086285	Atg9	Atg9	Autophagy-related 9
MCINX2_00000135-RA	FBPP0081152	Dpck	Dpck	Dephospho-CoA kinase
MCINX2_00000137-RA	FBPP0074788	nes	nes	nessy
MCINX2_00000141-RA	FBPP0077368	Prx6005	Prx6005	Peroxiredoxin 6005
MCINX2_00000142-RA	FBPP0112834	CG41520	CG41520	None
MCINX2_00000146-RA	FBPP0074520	Cdc42	Cdc42	Cdc42
MCINX2_00000149-RA	FBPP0271915	tey	tey	teyrha-meyrha
MCINX2_00000150-RB	FBPP0085363	SCAP	SCAP	SREBP cleavage activating protein
MCINX2_00000153-RA	FBPP0303827	Pgd	Pgd	Phosphogluconate dehydrogenase
MCINX2_00000154-RA	FBPP0291854	CG42674	CG42674	None
MCINX2_00000158-RA	FBPP0076372	GAPsec	GAPsec	GTPase activating protein
MCINX2_00000159-RA	FBPP0288833	CG42258	CG42258	None
MCINX2_00000160-RA	FBPP0293018	fest	fest	wurstfest
MCINX2_00000161-RA	FBPP0304417	Tudor-SN	Tudor-SN	Tudor staphylococcal nuclease
MCINX2_00000163-RA	FBPP0072540	trio	trio	trio
MCINX2_00000165-RA	FBPP0311921	hiw	hiw	highwire
MCINX2_00000166-RA	FBPP0073775	CG5541	CG5541	None
MCINX2_00000167-RA	FBPP0073773	be	be	ben
MCINX2_00000171-RA	FBPP0305328	CG32809	CG32809	None
MCINX2_00000173-RA	FBPP0070262	b6	b6	b6
MCINX2_00000175-RA	FBPP0087625	Smyd4-1	Smyd4-1	SET and MYND domain containing
MCINX2_00000176-RA	FBPP0076588	CTCF	CTCF	CTCF
MCINX2_00000181-RA	FBPP0311523	Abl	Abl	Abl tyrosine kinase
MCINX2_00000182-RA	FBPP0309281	CG10650	CG10650	None
MCINX2_00000184-RA	FBPP0076208	Tat	Tat	alpha-tubulin acetylase
MCINX2_00000186-RB	FBPP0298357	CG43373	CG43373	None
MCINX2_00000190-RA	FBPP0087232	Smyd4-3	Smyd4-3	SET and MYND domain containing
MCINX2_00000195-RA	FBPP0309288	t	t	tan
MCINX2_00000197-RA	FBPP0072460	Reg-2	Reg-2	Rhythmically expressed gene 2
MCINX2_00000198-RA	FBPP0088153	Eph	Eph	Eph receptor tyrosine kinase
MCINX2_00000199-RA	FBPP0289098	frc	frc	fringe connection
MCINX2_00000202-RA	FBPP0082459	UQCR-C1	UQCR-C1	Ubiquinol-cytochrome c reductase core protein 1
MCINX2_00000206-RA	FBPP0311726	luna	luna	luna
MCINX2_00000207-RA	FBPP0271812	Duba	Duba	Deubiquitinating enzyme A
MCINX2_00000208-RA	FBPP0310367	Cyp303a1	Cyp303a1	Cyp303a1
MCINX2_00000209-RA	FBPP0305258	CG9384	CG9384	None
MCINX2_00000212-RA	FBPP0311786	CG12164	CG12164	None
MCINX2_00000218-RA	FBPP0110156	CG33632	CG33632	None
MCINX2_00000219-RA	FBPP0113062	metro	metro	menage a trois
MCINX2_00000220-RA	FBPP0292962	CG13917	CG13917	None
MCINX2_00000221-RA	FBPP0309607	Vap33	Vap33	VAMP-associated protein 33kDa
MCINX2_00000222-RA	FBPP0298274	Pdp	Pdp	Pyruvate dehydrogenase phosphatase
MCINX2_00000223-RA	FBPP0089317	Frq2	Frq2	Frequenin 2
MCINX2_00000239-RA	FBPP0072803	dos	dos	daughter of sevenless
MCINX2_00000242-RA	FBPP0305997	path	path	pathetic
MCINX2_00000243-RA	FBPP0086729	RN-tre	RN-tre	Related to the N terminus of tre oncogene
MCINX2_00000244-RA	FBPP0076520	Mcad	Mcad	Medium-chain acyl-CoA dehydrogenase
MCINX2_00000245-RA	FBPP0074854	ftz-f1	ftz-f1	ftz transcription factor 1
MCINX2_00000246-RA	FBPP0074285	scu	scu	scully
MCINX2_00000248-RB	FBPP0071674	CG30281	CG30281	None
MCINX2_00000249-RA	FBPP0070417	ph-d	ph-d	polyhomeotic distal
MCINX2_00000253-RA	FBPP0112129	CG6567	CG6567	None
MCINX2_00000254-RA	FBPP0076498	CG32369	CG32369	None
MCINX2_00000255-RA	FBPP0076500	Clk	Clk	Clock
MCINX2_00000256-RA	FBPP0076719	Mdr65	Mdr65	Multi drug resistance 65
MCINX2_00000264-RA	FBPP0112047	dar1	dar1	dendritic arbor reduction 1
MCINX2_00000265-RA	FBPP0076239	CG13313	CG13313	None
MCINX2_00000266-RA	FBPP0075118	Su(P)	Su(P)	Suppressor of ref(2)P sterility
MCINX2_00000267-RA	FBPP0075651	CG10984	CG10984	None
MCINX2_00000268-RA	FBPP0076607	Surf1	Surf1	Surfeit 1
MCINX2_00000270-RA	FBPP0305337	AcCoAS	AcCoAS	Acetyl Coenzyme A synthase
MCINX2_00000271-RA	FBPP0078120	S1P	S1P	S1P
MCINX2_00000274-RA	FBPP0084478	CG5880	CG5880	None
MCINX2_00000275-RA	FBPP0310461	Fer2	Fer2	48 related 2
MCINX2_00000276-RA	FBPP0070581	CG2930	CG2930	None
MCINX2_00000283-RA	FBPP0087487	magu	magu	magu
MCINX2_00000285-RA	FBPP0087061	DUBAI	DUBAI	Deubiquitinating apoptotic inhibitor
MCINX2_00000287-RA	FBPP0300510	CG5928	CG5928	None
MCINX2_00000289-RA	FBPP0080202	Pgant35A	Pgant35A	Polypeptide N-acetylgalactosaminyltransferase 35A
MCINX2_00000296-RA	FBPP0304969	fln	fln	flightin
MCINX2_00000298-RA	FBPP0304599	grnd	grnd	grindelwald
MCINX2_00000300-RA	FBPP0304590	per	per	period
MCINX2_00000301-RA	FBPP0290505	gammaCOP	gammaCOP	Coat Protein (coatomer) gamma
MCINX2_00000302-RA	FBPP0305151	CG43901	CG43901	None
MCINX2_00000309-RB	FBPP0086484	Flo1	Flo1	Flotillin 1
MCINX2_00000310-RB	FBPP0086873	Qsox1	Qsox1	Quiescin sulfhydryl oxidase 1
MCINX2_00000311-RA	FBPP0076407	Nulp1	Nulp1	Nuclear localized protein 1
MCINX2_00000314-RA	FBPP0086968	sca	sca	scabrous
MCINX2_00000316-RA	FBPP0076386	Oseg1	Oseg1	Outer segment 1
MCINX2_00000318-RA	FBPP0078049	croc	croc	crocodile
MCINX2_00000320-RA	FBPP0076609	bin	bin	biniou
MCINX2_00000321-RA	FBPP0075573	CG14113	CG14113	None
MCINX2_00000322-RA	FBPP0309816	CG10383	CG10383	None
MCINX2_00000323-RA	FBPP0303361	Ack-like	Ack-like	Activated Cdc42 kinase-like
MCINX2_00000325-RA	FBPP0074669	CG7646	CG7646	None
MCINX2_00000325-RB	FBPP0074671	Nca	Nca	Neurocalcin
MCINX2_00000326-RA	FBPP0074577	zld	zld	zelda
MCINX2_00000334-RA	FBPP0074557	CG12531	CG12531	None
MCINX2_00000335-RC	FBPP0290801	SNF4Agamma	SNF4Agamma	SNF4/AMP-activated protein kinase gamma subunit
MCINX2_00000336-RA	FBPP0084974	Acph-1	Acph-1	Acid phosphatase 1
MCINX2_00000337-RA	FBPP0111897	CG9095	CG9095	None
MCINX2_00000340-RC	FBPP0312511	Mical	Mical	Molecule interacting with CasL
MCINX2_00000341-RA	FBPP0076196	Jarid2	Jarid2	Jumonji
MCINX2_00000343-RA	FBPP0309821	CG9135	CG9135	None
MCINX2_00000349-RA	FBPP0305693	Glut1	Glut1	Glucose transporter 1
MCINX2_00000350-RA	FBPP0075932	Blos2	Blos2	Biogenesis of lysosome-related organelles complex 1
MCINX2_00000357-RA	FBPP0312441	l(1)G0289	l(1)G0289	lethal (1) G0289
MCINX2_00000358-RB	FBPP0307870	Drat	Drat	Death resistor Adh domain containing target
MCINX2_00000359-RB	FBPP0303182	BtbVII	BtbVII	BTB-protein-VII
MCINX2_00000360-RA	FBPP0072601	Ptp61F	Ptp61F	Protein tyrosine phosphatase 61F
MCINX2_00000361-RA	FBPP0304398	ArfGAP1	ArfGAP1	ADP-ribosylation factor GTPase activating protein 1
MCINX2_00000362-RA	FBPP0291675	wnd	wnd	wallenda
MCINX2_00000363-RB	FBPP0307635	Strn-Mlck	Strn-Mlck	Stretchin-Mlck
MCINX2_00000363-RD	FBPP0307634	Strn-Mlck	Strn-Mlck	Stretchin-Mlck
MCINX2_00000365-RA	FBPP0073002	CG14971	CG14971	None
MCINX2_00000366-RA	FBPP0070620	CG3626	CG3626	None
MCINX2_00000367-RA	FBPP0072805	CG16984	CG16984	None
MCINX2_00000368-RA	FBPP0304238	CG10508	CG10508	None
MCINX2_00000369-RA	FBPP0304972	Deaf1	Deaf1	Deformed epidermal autoregulatory factor-1
MCINX2_00000370-RA	FBPP0076722	LanA	LanA	Laminin A
MCINX2_00000371-RA	FBPP0312605	Tmc	Tmc	Transmembrane channel-like
MCINX2_00000372-RA	FBPP0311281	LanB2	LanB2	Laminin B2
MCINX2_00000373-RA	FBPP0293722	acj6	acj6	abnormal chemosensory jump 6
MCINX2_00000373-RB	FBPP0293726	acj6	acj6	abnormal chemosensory jump 6
MCINX2_00000374-RA	FBPP0078431	CG1161	CG1161	None
MCINX2_00000375-RA	FBPP0303600	roq	roq	roquin
MCINX2_00000377-RA	FBPP0082759	Sdhaf3	Sdhaf3	Succinate dehydrogenase assembly factor 3
MCINX2_00000379-RA	FBPP0293679	Imp	Imp	IGF-II mRNA-binding protein
MCINX2_00000380-RA	FBPP0305342	scrt	scrt	scratch
MCINX2_00000382-RA	FBPP0309144	Nup153	Nup153	Nucleoporin 153kD
MCINX2_00000384-RB	FBPP0072463	Cypl	Cypl	Cyclophilin-like
MCINX2_00000385-RA	FBPP0306218	RhoGAP68F	RhoGAP68F	Rho GTPase activating protein at 68F
MCINX2_00000386-RA	FBPP0072431	rno	rno	rhinoceros
MCINX2_00000387-RA	FBPP0084179	CG13653	CG13653	None
MCINX2_00000388-RA	FBPP0301207	nwk	nwk	nervous wreck
MCINX2_00000389-RA	FBPP0073530	Coq8	Coq8	Coenzyme Q8
MCINX2_00000390-RA	FBPP0073085	CG1309	CG1309	None
MCINX2_00000391-RA	FBPP0071269	CG12121	CG12121	None
MCINX2_00000392-RA	FBPP0076651	CG8519	CG8519	None
MCINX2_00000393-RA	FBPP0085071	tll	tll	tailless
MCINX2_00000395-RA	FBPP0304400	SCaMC	SCaMC	Short Calcium-binding Mitochondrial Carrier
MCINX2_00000395-RB	FBPP0075715	SCaMC	SCaMC	Short Calcium-binding Mitochondrial Carrier
MCINX2_00000396-RA	FBPP0073873	CG9281	CG9281	None
MCINX2_00000397-RA	FBPP0301057	CG9492	CG9492	None
MCINX2_00000400-RA	FBPP0288535	RhoGAP15B	RhoGAP15B	Rho GTPase activating protein at 15B
MCINX2_00000401-RA	FBPP0304418	DIP2	DIP2	DISCO Interacting Protein 2
MCINX2_00000402-RA	FBPP0290687	Mbs	Mbs	Myosin binding subunit
MCINX2_00000402-RB	FBPP0423332	Mbs	Mbs	Myosin binding subunit
MCINX2_00000403-RA	FBPP0073424	fw	fw	furrowed
MCINX2_00000405-RA	FBPP0073084	CG1265	CG1265	None
MCINX2_00000406-RA	FBPP0076317	CG13310	CG13310	None
MCINX2_00000408-RA	FBPP0304208	TrpA1	TrpA1	Transient receptor potential cation channel A1
MCINX2_00000418-RA	FBPP0085394	ap	ap	apterous
MCINX2_00000419-RA	FBPP0077425	ND-B17.2	ND-B17.2	NADH dehydrogenase (ubiquinone) B17.2 subunit
MCINX2_00000420-RA	FBPP0288890	CG42271	CG42271	None
MCINX2_00000421-RA	FBPP0076408	msk	msk	moleskin
MCINX2_00000425-RA	FBPP0311156	CG7028	CG7028	None
MCINX2_00000426-RA	FBPP0297088	SLO2	SLO2	slowpoke 2
MCINX2_00000431-RA	FBPP0075918	Plod	Plod	procollagen lysyl hydroxylase
MCINX2_00000432-RA	FBPP0075895	nkt	nkt	noktochor
MCINX2_00000433-RA	FBPP0074717	Gbeta76C	Gbeta76C	G protein beta-subunit 76C
MCINX2_00000435-RA	FBPP0070594	CG6414	CG6414	None
MCINX2_00000436-RA	FBPP0074825	Cat	Cat	Catalase
MCINX2_00000438-RA	FBPP0075759	yps	yps	ypsilon schachtel
MCINX2_00000439-RC	FBPP0307732	CG31100	CG31100	None
MCINX2_00000440-RB	FBPP0111817	eIF4G1	eIF4G1	eukaryotic translation initiation factor 4G1
MCINX2_00000443-RA	FBPP0074573	pico	pico	pico
MCINX2_00000445-RA	FBPP0306050	Nep2	Nep2	Neprilysin 2
MCINX2_00000446-RA	FBPP0401556	Neurl4	Neurl4	Neuralized E3 ubiquitin protein ligase 4
MCINX2_00000450-RA	FBPP0311663	ssp6	ssp6	short spindle 6
MCINX2_00000450-RB	FBPP0075796	prc	prc	pericardin
MCINX2_00000451-RA	FBPP0078182	CG7369	CG7369	None
MCINX2_00000452-RA	FBPP0074283	Dhc16F	Dhc16F	Dynein heavy chain at 16F
MCINX2_00000454-RA	FBPP0293380	wcy	wcy	wacky
